t,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,walltime
0.0021,0.484419,0.496344,0.500913,0.523637,0.482152,0.507659,0.500129,0.53187,0.457879,0.494282,0.475533,0.530987,0.45635,0.572666,0.531705,0.499727,0.480132,0.495038,0.537722,0.541273,0.511686,0.518364,0.51454,0.463458,0.691592,5.05478,0.72575,0.508309,0.515922,0.52787,0.506333,0.495039,0.489546,0.480133,0.51086,0.508727,0.490619,0.51643,0.479172,0.502349,0.483197,0.518345,0.479891,0.524243,0.554689,0.494316,0.497066,0.513091,0.503968,0.456498,0.020241
0.0022,0.48437,0.495947,0.50165,0.523292,0.482283,0.508646,0.499817,0.531467,0.458182,0.494393,0.475951,0.531069,0.456119,0.572418,0.532447,0.499654,0.479967,0.495602,0.537721,0.540718,0.512817,0.517716,0.51485,0.464052,0.711293,5.0163,0.745103,0.508874,0.516098,0.527788,0.506366,0.49527,0.489566,0.480384,0.510353,0.509481,0.490415,0.516412,0.479501,0.502874,0.482599,0.518576,0.480363,0.523962,0.55558,0.493811,0.49751,0.51276,0.504019,0.456764,0.0202591
0.0023,0.484328,0.495546,0.502384,0.522937,0.482426,0.509635,0.499503,0.531049,0.458497,0.494505,0.476379,0.531123,0.455933,0.572125,0.533209,0.499571,0.479811,0.496173,0.537712,0.540152,0.513962,0.517061,0.515155,0.464722,0.731737,4.97621,0.765186,0.509518,0.516263,0.527702,0.506397,0.495501,0.489598,0.480638,0.509844,0.510218,0.490224,0.516385,0.479843,0.503389,0.482019,0.51878,0.480858,0.523681,0.556452,0.493315,0.497956,0.512426,0.504061,0.457041,0.020261
0.0024,0.484292,0.495142,0.503117,0.522571,0.482581,0.510626,0.499189,0.530617,0.458824,0.494619,0.476818,0.531147,0.455793,0.571788,0.53399,0.499479,0.479664,0.496749,0.537697,0.539575,0.515121,0.516399,0.515453,0.465472,0.752898,4.93455,0.785975,0.510248,0.516419,0.52761,0.506428,0.495731,0.489641,0.480896,0.509335,0.510936,0.490045,0.516349,0.480195,0.503895,0.481458,0.518959,0.481375,0.523401,0.557305,0.492828,0.498404,0.512092,0.504092,0.457327,0.020257
0.0025,0.484262,0.494735,0.503846,0.522197,0.482747,0.51162,0.498873,0.53017,0.459161,0.494733,0.477266,0.531142,0.455698,0.571407,0.534789,0.499377,0.479528,0.497331,0.537674,0.538989,0.516293,0.515731,0.515747,0.466307,0.774755,4.89135,0.807446,0.51107,0.516565,0.527513,0.506458,0.49596,0.489696,0.481157,0.508826,0.511635,0.489879,0.516304,0.480558,0.50439,0.480915,0.519112,0.481914,0.523121,0.558139,0.49235,0.498855,0.511756,0.504113,0.457623,0.0202291
0.0026,0.484237,0.494327,0.50457,0.521814,0.482925,0.512617,0.498555,0.529711,0.45951,0.49485,0.477723,0.531109,0.455648,0.570983,0.535607,0.499266,0.479402,0.497919,0.537643,0.538393,0.517476,0.515059,0.516035,0.467234,0.797281,4.84665,0.829574,0.511988,0.516701,0.527411,0.506487,0.496189,0.489762,0.481421,0.508318,0.512315,0.489726,0.516251,0.480932,0.504874,0.480391,0.51924,0.482475,0.522842,0.558952,0.491883,0.499307,0.51142,0.504123,0.45793,0.020292
0.0027,0.484217,0.493917,0.50529,0.521424,0.483113,0.513614,0.498237,0.529238,0.45987,0.494968,0.478189,0.531047,0.455643,0.570516,0.536441,0.499147,0.479287,0.498511,0.537606,0.537788,0.51867,0.514381,0.516318,0.468257,0.820452,4.8005,0.852332,0.513011,0.516827,0.527305,0.506516,0.496415,0.48984,0.481687,0.507812,0.512974,0.489587,0.51619,0.481317,0.505347,0.479887,0.519342,0.483057,0.522566,0.559745,0.491425,0.499761,0.511084,0.504122,0.458246,0.0202639
0.0028,0.484203,0.493506,0.506002,0.521028,0.483311,0.514614,0.497918,0.528752,0.460239,0.495088,0.478662,0.530957,0.455683,0.570008,0.537292,0.49902,0.479182,0.499107,0.537562,0.537175,0.519874,0.5137,0.516597,0.469382,0.844241,4.75293,0.875694,0.514144,0.516943,0.527193,0.506545,0.496641,0.48993,0.481955,0.507308,0.513611,0.489463,0.516121,0.481712,0.505808,0.479404,0.519418,0.483659,0.522291,0.560517,0.490979,0.500215,0.510749,0.504111,0.458572,0.020261
0.0029,0.484195,0.493095,0.506708,0.520626,0.48352,0.515614,0.497598,0.528253,0.460619,0.495211,0.479144,0.530839,0.455768,0.569458,0.538158,0.498885,0.479088,0.499707,0.537511,0.536556,0.521086,0.513015,0.516872,0.470615,0.868621,4.70398,0.899632,0.515394,0.517049,0.527077,0.506573,0.496865,0.490032,0.482225,0.506807,0.514227,0.489352,0.516044,0.482117,0.506259,0.47894,0.519469,0.484283,0.522018,0.561267,0.490544,0.500669,0.510415,0.504089,0.458908,0.0202591
0.003,0.484191,0.492684,0.507405,0.52022,0.483738,0.516616,0.497277,0.527743,0.461008,0.495337,0.479633,0.530693,0.455896,0.568868,0.539038,0.498742,0.479005,0.50031,0.537453,0.535929,0.522306,0.512327,0.517143,0.471962,0.893564,4.6537,0.924117,0.516766,0.517145,0.526956,0.506602,0.497087,0.490146,0.482496,0.50631,0.51482,0.489256,0.515959,0.482532,0.506697,0.478498,0.519495,0.484926,0.521749,0.561994,0.490121,0.501123,0.510082,0.504055,0.459254,0.0202579
