t,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,walltime
0.0022,0.508516,0.470275,0.556578,0.426337,0.549975,0.473072,0.470326,0.502282,0.481557,0.524054,0.497593,0.489138,0.526757,0.490521,0.633083,0.464162,0.492402,0.511933,0.447104,0.470249,0.470283,0.460487,0.47259,0.575588,0.814064,4.80699,0.790056,0.540982,0.606279,0.548457,0.485868,0.481206,0.494763,0.470168,0.481625,0.375813,0.464947,0.581215,0.443842,0.486521,0.448999,0.50785,0.462343,0.495005,0.484891,0.530111,0.519703,0.546758,0.473898,0.420765,0.00523901
0.0023,0.50967,0.468549,0.557383,0.427097,0.548504,0.473437,0.470792,0.501647,0.483101,0.522965,0.498675,0.489919,0.526476,0.490558,0.633014,0.464796,0.491455,0.5122,0.446823,0.470803,0.471247,0.459863,0.472972,0.576571,0.837199,4.76158,0.811385,0.542797,0.605753,0.548414,0.485728,0.48076,0.495268,0.47027,0.481638,0.375468,0.465046,0.581409,0.444082,0.486283,0.45057,0.507946,0.462432,0.494971,0.483377,0.531649,0.520103,0.545816,0.473976,0.421358,0.00518107
0.0024,0.510815,0.466855,0.558137,0.427915,0.546988,0.473832,0.471246,0.501002,0.484651,0.521874,0.49978,0.490687,0.526192,0.490606,0.632903,0.465465,0.490495,0.512488,0.446517,0.47138,0.472203,0.459238,0.473379,0.577622,0.860936,4.71479,0.833302,0.544716,0.60523,0.548344,0.485622,0.480307,0.495763,0.470381,0.481636,0.375146,0.465169,0.581538,0.444352,0.486043,0.452153,0.508022,0.462526,0.494943,0.481872,0.533161,0.52052,0.544867,0.474044,0.421964,0.00522089
0.0025,0.511948,0.465194,0.55884,0.428789,0.545428,0.474255,0.471688,0.50035,0.486204,0.520782,0.500909,0.491443,0.525904,0.490666,0.63275,0.466166,0.48952,0.512795,0.446188,0.47198,0.473152,0.458612,0.473808,0.57875,0.885249,4.66665,0.855779,0.546744,0.60471,0.548246,0.485547,0.479849,0.496247,0.470502,0.48162,0.374849,0.465319,0.581602,0.444652,0.4858,0.453747,0.508079,0.462626,0.49492,0.48038,0.534645,0.520953,0.543913,0.474103,0.422584,0.00522399
0.0026,0.51307,0.463567,0.559492,0.429718,0.543826,0.474708,0.472117,0.499692,0.487757,0.519691,0.502059,0.492186,0.525611,0.490738,0.632556,0.466899,0.488534,0.513122,0.445835,0.472603,0.474093,0.457987,0.474261,0.579961,0.910109,4.61721,0.87879,0.548886,0.604194,0.548122,0.485504,0.479387,0.49672,0.470632,0.481589,0.374575,0.465493,0.581602,0.444982,0.485556,0.45535,0.508118,0.462731,0.494903,0.4789,0.536101,0.521401,0.542954,0.474153,0.423216,0.0052588
0.0027,0.51418,0.461974,0.560094,0.4307,0.542183,0.475187,0.472532,0.49903,0.48931,0.518602,0.503231,0.492917,0.525315,0.490822,0.63232,0.467664,0.487537,0.513466,0.445459,0.473248,0.475024,0.457363,0.474737,0.581261,0.935488,4.5665,0.90231,0.551147,0.603682,0.547972,0.485491,0.478922,0.49718,0.470772,0.481544,0.374326,0.465693,0.581536,0.445341,0.485312,0.456962,0.508141,0.462841,0.494892,0.477435,0.537528,0.521864,0.54199,0.474193,0.423861,0.00521684
0.0028,0.515277,0.460418,0.560645,0.431735,0.540503,0.475694,0.472933,0.498364,0.49086,0.517518,0.504423,0.493634,0.525014,0.490919,0.632044,0.468458,0.486529,0.513828,0.445062,0.473916,0.475946,0.456741,0.475235,0.582657,0.961358,4.51458,0.926311,0.553532,0.603177,0.547795,0.485508,0.478454,0.497628,0.470923,0.481484,0.374103,0.465918,0.581406,0.445729,0.485069,0.45858,0.508147,0.462955,0.494885,0.475985,0.538924,0.522341,0.541024,0.474224,0.424518,0.00523615
0.0029,0.51636,0.458898,0.561145,0.43282,0.538785,0.476226,0.47332,0.497698,0.492405,0.51644,0.505634,0.494339,0.52471,0.491029,0.631728,0.469281,0.485512,0.514205,0.444643,0.474607,0.476857,0.456122,0.475757,0.584156,0.987687,4.46149,0.950765,0.556048,0.602677,0.547593,0.485554,0.477984,0.498063,0.471083,0.481409,0.373904,0.466168,0.581212,0.446145,0.484827,0.460203,0.508139,0.463074,0.494882,0.474551,0.54029,0.522832,0.540055,0.474245,0.425188,0.00521183
0.003,0.517429,0.457415,0.561594,0.433955,0.537032,0.476783,0.473692,0.497031,0.493944,0.51537,0.506864,0.495031,0.524401,0.491151,0.631371,0.470132,0.484488,0.514598,0.444205,0.475319,0.477756,0.455506,0.476302,0.585765,1.01445,4.40727,0.975643,0.558698,0.602184,0.547366,0.485629,0.477512,0.498484,0.471254,0.481319,0.37373,0.466442,0.580955,0.44659,0.484588,0.46183,0.508117,0.463196,0.494884,0.473135,0.541625,0.523336,0.539084,0.474257,0.425869,0.00520802
0.0031,0.518484,0.455971,0.561994,0.435137,0.535246,0.477365,0.474048,0.496366,0.495473,0.514309,0.508111,0.49571,0.524088,0.491288,0.630976,0.471009,0.483456,0.515006,0.443747,0.476054,0.478644,0.454896,0.47687,0.587491,1.04161,4.35196,1.00092,0.561488,0.6017,0.547114,0.485731,0.477041,0.498891,0.471435,0.481214,0.373581,0.46674,0.580634,0.447062,0.484352,0.46346,0.508081,0.463322,0.494888,0.471738,0.542927,0.523852,0.538113,0.474258,0.426563,0.00526905
0.0032,0.519523,0.454566,0.562344,0.436366,0.533429,0.477969,0.474388,0.495704,0.496992,0.513259,0.509375,0.496377,0.523771,0.491437,0.630541,0.471912,0.482419,0.515427,0.443271,0.47681,0.479519,0.454291,0.477461,0.58934,1.06913,4.29562,1.02656,0.564423,0.601223,0.546838,0.48586,0.47657,0.499283,0.471626,0.481094,0.373459,0.467062,0.58025,0.447561,0.48412,0.46509,0.508034,0.463452,0.494897,0.47036,0.544196,0.52438,0.537142,0.47425,0.427268,0.00521612
0.0033,0.520547,0.453201,0.562644,0.437638,0.531582,0.478596,0.474711,0.495046,0.498498,0.512223,0.510654,0.49703,0.52345,0.491601,0.630068,0.472839,0.481378,0.51586,0.442778,0.477587,0.480381,0.453692,0.478075,0.59132,1.097,4.23829,1.05253,0.56751,0.600756,0.546538,0.486015,0.476101,0.49966,0.471827,0.48096,0.373362,0.467408,0.579804,0.448086,0.483894,0.466721,0.507975,0.463585,0.494908,0.469004,0.545432,0.524919,0.536172,0.474232,0.427984,0.00525904
0.0034,0.521555,0.451876,0.562896,0.438954,0.529709,0.479243,0.475018,0.494395,0.49999,0.511201,0.511948,0.497671,0.523124,0.491778,0.629558,0.473789,0.480333,0.516304,0.442268,0.478385,0.481229,0.4531,0.478712,0.593437,1.12517,4.18003,1.07881,0.570753,0.6003,0.546216,0.486195,0.475634,0.500021,0.472039,0.48081,0.373291,0.467776,0.579297,0.448637,0.483674,0.468349,0.507907,0.46372,0.494921,0.467669,0.546634,0.525468,0.535205,0.474204,0.428712,0.00524497
0.0035,0.522546,0.450592,0.563099,0.44031,0.52781,0.479911,0.475308,0.493751,0.501466,0.510195,0.513255,0.498299,0.522794,0.491971,0.629009,0.474761,0.479286,0.516758,0.441744,0.479204,0.482063,0.452516,0.479374,0.595699,1.15361,4.12087,1.10537,0.574157,0.599854,0.545871,0.486399,0.475171,0.500367,0.472261,0.480646,0.373246,0.468168,0.578728,0.449213,0.48346,0.469974,0.50783,0.463858,0.494936,0.466358,0.547802,0.526027,0.53424,0.474167,0.42945,0.00523591
0.0036,0.52352,0.44935,0.563254,0.441706,0.525887,0.480597,0.475581,0.493116,0.502923,0.509208,0.514575,0.498914,0.522459,0.492177,0.628424,0.475753,0.478239,0.517221,0.441205,0.480042,0.482883,0.451941,0.480059,0.598112,1.18229,4.06087,1.13217,0.577729,0.59942,0.545505,0.486626,0.474711,0.500696,0.472493,0.480466,0.373227,0.468582,0.5781,0.449813,0.483255,0.471594,0.507744,0.463998,0.494954,0.465071,0.548935,0.526595,0.533279,0.474119,0.430199,0.00521302
0.0037,0.524476,0.44815,0.563362,0.443139,0.523944,0.481302,0.475835,0.492492,0.504361,0.508241,0.515906,0.499516,0.52212,0.492399,0.627803,0.476765,0.477192,0.517692,0.440653,0.4809,0.483686,0.451375,0.480769,0.600683,1.21118,4.00008,1.15919,0.581472,0.598999,0.545118,0.486876,0.474256,0.501009,0.472735,0.480272,0.373235,0.469017,0.577411,0.450437,0.483058,0.473209,0.507652,0.46414,0.494972,0.463808,0.550032,0.527171,0.532322,0.474062,0.430959,0.00529099
0.0038,0.525415,0.446993,0.563423,0.444608,0.521981,0.482023,0.476072,0.491879,0.505777,0.507295,0.517248,0.500106,0.521777,0.492636,0.627146,0.477794,0.476147,0.518169,0.44009,0.481778,0.484475,0.450819,0.481503,0.603418,1.24024,3.93856,1.18638,0.585393,0.598592,0.544712,0.487146,0.473807,0.501304,0.472987,0.480064,0.373269,0.469474,0.576665,0.451083,0.482872,0.474815,0.507554,0.464284,0.494992,0.462572,0.551093,0.527754,0.531372,0.473995,0.431729,0.00520897
0.0039,0.526334,0.44588,0.563438,0.44611,0.520002,0.482759,0.476291,0.491279,0.507169,0.506371,0.518599,0.500684,0.521428,0.492888,0.626454,0.47884,0.475105,0.518652,0.439516,0.482673,0.485247,0.450274,0.482263,0.606325,1.26944,3.87634,1.21373,0.589497,0.598199,0.544286,0.487436,0.473365,0.501582,0.473249,0.479841,0.37333,0.469951,0.57586,0.451752,0.482696,0.476413,0.507452,0.464429,0.495013,0.461363,0.552119,0.528343,0.530427,0.473918,0.432509,0.00524902
0.004,0.527235,0.44481,0.563408,0.447644,0.518008,0.48351,0.476491,0.490694,0.508537,0.505473,0.519959,0.501249,0.521075,0.493156,0.625728,0.479901,0.474068,0.519139,0.438932,0.483587,0.486002,0.44974,0.483048,0.60941,1.29875,3.81349,1.2412,0.593788,0.597822,0.543842,0.487745,0.47293,0.501842,0.473521,0.479604,0.373417,0.470449,0.574998,0.452443,0.482531,0.478001,0.507345,0.464574,0.495034,0.460181,0.553108,0.528938,0.52949,0.473832,0.433298,0.005198
0.0041,0.528116,0.443784,0.563334,0.449207,0.516001,0.484275,0.476672,0.490124,0.509877,0.504601,0.521326,0.501802,0.520717,0.49344,0.624968,0.480975,0.473036,0.519629,0.438341,0.484518,0.48674,0.449219,0.483859,0.612679,1.32813,3.75006,1.26875,0.598271,0.597462,0.54338,0.488073,0.472503,0.502084,0.473802,0.479353,0.373532,0.470966,0.574081,0.453154,0.482379,0.479576,0.507236,0.464721,0.495055,0.459028,0.55406,0.529538,0.528561,0.473736,0.434097,0.00525188
0.0042,0.528978,0.442803,0.563216,0.450798,0.513984,0.485051,0.476834,0.489572,0.511189,0.503756,0.522699,0.502343,0.520354,0.49374,0.624174,0.482063,0.472011,0.52012,0.437742,0.485465,0.487461,0.448711,0.484698,0.616138,1.35755,3.68609,1.29635,0.602952,0.597119,0.542902,0.488417,0.472085,0.502308,0.474092,0.479088,0.373673,0.471503,0.573108,0.453884,0.482241,0.481139,0.507125,0.464868,0.495075,0.457904,0.554975,0.530142,0.527641,0.47363,0.434905,0.0052321
0.0043,0.52982,0.441866,0.563055,0.452415,0.511958,0.485838,0.476977,0.489037,0.512471,0.502941,0.524078,0.502871,0.519986,0.494057,0.623348,0.483161,0.470995,0.520612,0.437138,0.486429,0.488165,0.448216,0.485563,0.619794,1.38698,3.62164,1.32398,0.607836,0.596795,0.542409,0.488776,0.471677,0.502513,0.474392,0.47881,0.373841,0.472057,0.572082,0.454634,0.482116,0.482688,0.507013,0.465015,0.495096,0.45681,0.555853,0.530749,0.526731,0.473514,0.435722,0.00518894
0.0044,0.530641,0.440975,0.562852,0.454055,0.509927,0.486634,0.477102,0.488522,0.513722,0.502157,0.525462,0.503388,0.519613,0.49439,0.62249,0.484269,0.469989,0.521103,0.43653,0.487408,0.48885,0.447736,0.486457,0.623653,1.41638,3.55677,1.3516,0.612926,0.59649,0.541902,0.48915,0.47128,0.5027,0.474701,0.478518,0.374036,0.47263,0.571003,0.455402,0.482006,0.48422,0.506901,0.465162,0.495115,0.455747,0.556694,0.531358,0.525832,0.473389,0.436547,0.00524402
0.0045,0.531441,0.440129,0.562608,0.455717,0.507892,0.487439,0.477207,0.488027,0.514939,0.501405,0.526848,0.503894,0.519235,0.494739,0.621601,0.485385,0.468994,0.521591,0.435919,0.488402,0.489518,0.44727,0.487381,0.627721,1.44571,3.49152,1.37918,0.618227,0.596207,0.541381,0.489538,0.470894,0.502868,0.475018,0.478214,0.374259,0.473219,0.569872,0.456187,0.481913,0.485736,0.506791,0.465308,0.495133,0.454716,0.557497,0.531968,0.524944,0.473255,0.437381,0.005265
0.0046,0.53222,0.439328,0.562324,0.457399,0.505855,0.48825,0.477292,0.487553,0.516122,0.500687,0.528237,0.504387,0.518851,0.495106,0.620681,0.486508,0.468012,0.522076,0.435306,0.489409,0.490167,0.44682,0.488334,0.632002,1.47495,3.42595,1.40669,0.623745,0.595945,0.540848,0.489938,0.470521,0.503016,0.475343,0.477896,0.374508,0.473825,0.56869,0.456988,0.481836,0.487234,0.506683,0.465454,0.49515,0.453717,0.558262,0.532579,0.524069,0.473111,0.438223,0.00525403
0.0047,0.532978,0.438572,0.562002,0.459097,0.503819,0.489068,0.477359,0.487102,0.517269,0.500003,0.529628,0.504869,0.518463,0.49549,0.619731,0.487636,0.467044,0.522556,0.434694,0.49043,0.490797,0.446386,0.489318,0.636504,1.50406,3.36011,1.43408,0.629482,0.595706,0.540304,0.490349,0.47016,0.503146,0.475676,0.477567,0.374784,0.474446,0.56746,0.457804,0.481776,0.488712,0.506578,0.465599,0.495165,0.45275,0.558991,0.533188,0.523207,0.472959,0.439072,0.00524902
